-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$ModVersion{}{}	Completionist Version:{}{}
$ShrineMessageWintersun40	~~~ The Magna-Ge ~~~    \n\nFollower - Shimmering Light: Gain 5 points of weapon charge per second, up to their charge level when last equipped or recharged.                                        \n\nDevotee - Starlit Path: During prayer, you may let the Magna-Ge carry you to a location within line of sight. Costs 4% favor.
$ShrineMessageWintersun41	~~~ The Old Ways ~~~    \n\nFollower - Totem Worship: Pray while sacrificing 100 gold worth of gemstones to assume the powers of an animal god.                                                      \n\nDevotee - Dragon Cult: Able to assume the powers of the Dragon. Costs 2% favor per hour.
$ShrineMessageWintersun42	~~~ Trinimac ~~~        \n\nFollower - Tears of Man: Attacks deal X% more damage and critical damage to humans (based on favor with Trinimac).                                                       \n\nDevotee - Manifest Divinity: When praying, you may become ethereal and invulnerable until your next attack. Costs 5% favor.
$ShrineMessageWintersun43	~~~ Vaermina ~~~        \n\nFollower - Night Terrors: Mind affecting illusion spells work on targets X levels higher (based on favor with Vaermina).                                                 \n\nDevotee - Phantasmagoria: Activate a sleeping person to summon an illusion to accompany you for an hour. Costs 10% favor.
$ShrineMessageWintersun44	~~~ Xarxes ~~~          \n\nFollower - Scribe’s Insight: If you read a Skill Book while praying, Xarxes grants you an extra Skill Point in that skill.                                               \n\nDevotee - Panopticon: During prayer, you may ascend in a trance, revealing all characters in a very large radius.
$ShrineMessageWintersun45	~~~ Z’en ~~~            \n\nFollower - Traveler’s Break: Beneficial potions, food and ingredients last twice as long and are X% better (based on favor with Z'en) if consumed while praying.         \n\nDevotee - Merchant’s Knapsack: Pray to open an unlimited extradimensional storage space.
$ShrineMessageWintersun46	~~~ Zenithar ~~~        \n\nFollower - Work Ethic: Learn Smithing, Alchemy and Enchanting X% faster and they are X% better (based on favor with Zenithar).                                           \n\nDevotee - Invisible Hand: Pray to Zenithar to buy and sell items directly.
$ShrineMessageWintersun47	~~~ Clavicus Vile ~~~   \n\nFollower - Pactmaker: Conjuration spells and effects last 10% longer. Pray to make a Pact to gain favor with Clavicus Vile.                                              \n\nDevotee - Wishmaster: Pray to make a Wish, permanently gaining an additional perk point. Costs 30% favor.
$ShrineMessageWintersun48	~~~ Meridia ~~~         \n\nFollower - Purification: Attacks, spells, scrolls, shouts and enchantments are X% better against undead (based on favor with Meridia).                                   \n\nDevotee - Supreme Light: Activate an undead opponent in combat to call down a solar strike to deal X damage (based on favor with Meridia) and half to nearby undead. Costs 10% favor.

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$ClawHighlight00	~~~ Amethyst Claw, Left Half ~~~          \n This Dragon Claw is for the puzzle door located in Vahlok's Tomb            
$ClawHighlight01	~~~ Amethyst Claw, Right Half ~~~         \n This Dragon Claw is for the puzzle door located in Vahlok's Tomb
$ClawHighlight02	~~~ Coral Dragon Claw ~~~                 \n This Dragon Claw is for the puzzle door located in Yngol Barrow                \n Combination: Snake - Wolf - Moth
$ClawHighlight03	~~~ Diamond Claw ~~~                      \n This Dragon Claw is for the puzzle door located in Skuldafn                    \n Combination: Fox - Moth - Dragon
$ClawHighlight04	~~~ Ebony Claw ~~~                        \n This Dragon Claw is for the puzzle door located in Korvanjund                  \n Combination: Fox - Moth - Dragon
$ClawHighlight05	~~~ Emerald Dragon Claw ~~~               \n This Dragon Claw is for the puzzle door located in Reachwater Rock             \n Combination: Bear - Whale - Snake
$ClawHighlight06	~~~ Glass Claw ~~~                        \n This Dragon Claw is for the puzzle door located in Forelhost Refectory         \n Combination: Fox - Owl - Snake
$ClawHighlight07	~~~ Golden Claw ~~~                       \n This Dragon Claw is for the puzzle door located in Bleak Falls Barrow          \n Combination: Bear - Moth - Owl
$ClawHighlight08	~~~ Iron Claw  ~~~                        \n This Dragon Claw is for the puzzle door located in Valthume Catacombs          \n Combination: Dragon - Hawk - Wolf
$ClawHighlight09	~~~ Ivory Dragon Claw ~~~                 \n This Dragon Claw is for the puzzle door located in Folgunthur                  \n Combination: Hawk - Hawk - Dragon
$ClawHighlight10	~~~ Ruby Dragon Claw ~~~                  \n This Dragon Claw is for the puzzle door located in Dead Men's Respite          \n Combination: Wolf - Hawk - Wolf
$ClawHighlight11	~~~ Sapphire Dragon Claw ~~~              \n This Dragon Claw is for the puzzle door located in Shroud Hearth Barrow        \n Combination: Moth - Owl - Wolf

$ClawHighlight12	~~~ Black Glass Claw ~~~                  \n This Dragon Claw is for the puzzle door located in Staadomaar Ruins            \n Combination: Fox - Owl - Snake
$ClawHighlight13	~~~ Rusted Claw ~~~                       \n This Dragon Claw is for the puzzle door located in Wyrmstooth Barrow           \n Combination: Hawk - Whale - Snake

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$PetHighlight00{}{}	~~~ {} ~~~    \n{} can be brought home by adopted children
$PetHighlight01{}{}	~~~ {} ~~~    \n{} can be brought home by adopted children
$PetHighlight02{}{}	~~~ {} ~~~    \n{} can be brought home by adopted children
$PetHighlight03{}{}	~~~ {} ~~~    \n{} can be brought home by adopted children
$PetHighlight04{}{}	~~~ {} ~~~    \n{} can be brought home by adopted children

$PetHighlightSaintsA{}{}	~~~ {} ~~~    \n The {} can be found in a Seducers Bandit camp along the road west of Fort Kastav
$PetHighlightSaintsB{}{}	~~~ {} ~~~    \n The {} can be found in a Saints Bandit camp west of the entrance to North Brittleshin Pass
$PetHighlightBoneWolf{}{}	~~~ {} ~~~    \n The {} can be found in a rocky overhang located along the coast northwest of Folgunthur
$PetHighlightNixHound{}{}	~~~ {} ~~~    \n The {} can be purchased from Revus Sarvani near Tel Mithryn
$PetHighlightMudcrab{}{}	~~~ {} ~~~    \n The {} can be purchased from Calcelmo in Markarth

$PetHighlightPetSpider{}{}	~~~ {} ~~~    \n{} can be found in Cronvangr Cave
$PetHighlightPetGoat{}{}	~~~ {} ~~~    \n{} can be purchased from Halvar in Rorikstead
$PetHighlightPetSkeever{}{}	~~~ {} ~~~    \n{} can be found trapped in a cage inside the Ratway
$PetHighlightPetFox{}{}	    ~~~ {} ~~~    \n{} can be found in the forest south-southwest of Half-Moon Mill
$PetHighlightPetRabbit{}{}	~~~ {} ~~~    \n{} can be found at the abandoned Alchemist's Shack in the mountain pass south of Ivarstead

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$MaskHighlight00	~~~ Ahzidal ~~~\n This Dragon Priest Mask can be located in Kolbjorn Barrow             \n Enchantment: +50 Resistance against Fire and increase Fire spell damage by 25%
$MaskHighlight01	~~~ Dukaan ~~~\n This Dragon Priest Mask can be located in White Ridge Sanctum          \n Enchantment: Increases Frost Resistance by 50% and Frost spell damage by 25%
$MaskHighlight02	~~~ Hevnoraak ~~~\n This Dragon Priest Mask can be located in Valthume                  \n Enchantment: Immune to disease and poison
$MaskHighlight03	~~~ Konahrik ~~~\n This Dragon Priest Mask can be located in Bromjunaar Sanctuary       \n Enchantment: When health is low, has a chance to heal wearer and damage nearby enemies
$MaskHighlight04	~~~ Krosis ~~~\n This Dragon Priest Mask can be located in Shearpoint                   \n Enchantment: Lockpicking, Archery, and Alchemy are 20% better.
$MaskHighlight05	~~~ Miraak ~~~\n This Dragon Priest Mask can be located at the Summit of Apocrypha      \n Enchantment: Increases your Magicka (Levelled Amount) best at level 60+
$MaskHighlight06	~~~ Morokei ~~~\n This Dragon Priest Mask can be located in Labyrinthian                \n Enchantment: Magicka regenerates 100% faster
$MaskHighlight07	~~~ Nahkriin ~~~\n This Dragon Priest Mask can be located in Skuldafn                   \n Enchantment: +50 Magicka. Destruction and Restoration spells cost 20% less
$MaskHighlight08	~~~ Otar ~~~\n This Dragon Priest Mask can be located in Ragnvald                       \n Enchantment: +30 Resistance against fire, frost, and shock
$MaskHighlight09	~~~ Rahgot ~~~\n This Dragon Priest Mask can be located in Forelhost                    \n Enchantment: Increases your stamina by 70 points
$MaskHighlight10	~~~ Vokun ~~~\n This Dragon Priest Mask can be located in High Gate Ruins               \n Enchantment: Conjuration, Illusion and Alteration spells cost 20% less magicka to cast
$MaskHighlight11	~~~ Volsung ~~~\n This Dragon Priest Mask can be located in Volskygge                   \n Enchantment: Prices are 20% better, Carry 20 points more, and can breathe underwater
$MaskHighlight12	~~~ Wooden Mask ~~~\n This Dragon Priest Mask can be located in Labyrinthian            \n Enchantment: The wooden mask hums with an unfamiliar energy
$MaskHighlight13	~~~ Zahkriisos ~~~\n This Dragon Priest Mask can be located in Bloodskal Barrow         \n Enchantment: Increases Shock Resistance by 50% and Shock spell damage by 25%

$MaskHighlight14	~~~ Suleyk ~~~\n This Dragon Priest Mask can be located in Wyrmstooth Barrow            \n Enchantment: Draugr and their allies tolerate the wearer

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$BarenziahList00	Ansilvund
$BarenziahList01	Black-Briar Lodge
$BarenziahList02	College of Winterhold
$BarenziahList03	Dainty Sload
$BarenziahList04	Dark Brotherhood Sanctuary
$BarenziahList05	Dead Crone Rock
$BarenziahList06	Fellglow Keep
$BarenziahList07	Hob's Fall Cave
$BarenziahList08	Markarth I
$BarenziahList09	Markarth II
$BarenziahList10	Pinewatch
$BarenziahList11	Rannveig's Fast
$BarenziahList12	Riften
$BarenziahList13	Solitude I
$BarenziahList14	Solitude II
$BarenziahList15	Stony Creek Cave
$BarenziahList16	Sunderstone Gorge
$BarenziahList17	Thalmor Embassy
$BarenziahList18	Whiterun I
$BarenziahList19	Whiterun II
$BarenziahList20	Whiterun III
$BarenziahList21	Windhelm I
$BarenziahList22	Windhelm II
$BarenziahList23	Yngvild

$BarenziahHighlight00	~~~ Ansilvund ~~~\n This Stone of Barenziah can be located on the table at the end of the Ansilvund Burial Chambers.
$BarenziahHighlight01	~~~ Black-Briar Lodge ~~~\n This Stone of Barenziah can be located in the top floor bedroom, next to the bed.
$BarenziahHighlight02	~~~ College of Winterhold ~~~\n This Stone of Barenziah can be located in the Arch-Mage Quarters.
$BarenziahHighlight03	~~~ Dainty Sload ~~~\n This Stone of Barenziah can be located in the last room on the table.
$BarenziahHighlight04	~~~ Dark Brotherhood Sanctuary ~~~\n This Stone of Barenziah can be located on the dresser in Astrid's room.
$BarenziahHighlight05	~~~ Dead Crone Rock ~~~\n This Stone of Barenziah can be located on the stone altar opposite the Word Wall.
$BarenziahHighlight06	~~~ Fellglow Keep ~~~\n This Stone of Barenziah can be located straight up the stairs on the right hand side.
$BarenziahHighlight07	~~~ Hob's Fall Cave ~~~\n This Stone of Barenziah can be located near the alchemy set under the bridge in the northwestern part of the cave system.
$BarenziahHighlight08	~~~ Markarth I ~~~\n This Stone of Barenziah can be located in the Treasury House on a bedside table in Thonar's bedroom.
$BarenziahHighlight09	~~~ Markarth II ~~~\n This Stone of Barenziah can be located in Understone Keep's Dwemer Museum, on a table in the first room to the left
$BarenziahHighlight10	~~~ Pinewatch ~~~\n This Stone of Barenziah can be located in the basement, press the hidden button to the right of the bookcase which provides access to the bandit's hideout, the stone is found in a locked room in the Bandit's Sanctuary.
$BarenziahHighlight11	~~~ Rannveig's Fast ~~~\n This Stone of Barenziah can be located next to the alchemy lab and chest on the right after falling down the trapdoor in front of the chest and the Word Wall.
$BarenziahHighlight12	~~~ Riften ~~~\n This Stone of Barenziah can be located in Mistveil Keep in the Jarl's bedroom, go up the stairs and through the locked center door. It will be on the end table left of the bed.
$BarenziahHighlight13	~~~ Solitude I ~~~\n This Stone of Barenziah can be located in the Blue Palace in the Jarl's bedroom, right side of the bed on top of the wardrobe.
$BarenziahHighlight14	~~~ Solitude II ~~~\n This Stone of Barenziah can be located in Proudspire Manor. You must first purchase the house and the stone can be found on the top floor in the master bedroom, on top of the wardrobe behind the door.
$BarenziahHighlight15	~~~ Stony Creek Cave ~~~\n This Stone of Barenziah can be located on the table next to the alchemy lab in the room off to the side.
$BarenziahHighlight16	~~~ Sunderstone Gorge ~~~\n This Stone of Barenziah can be located on the table with two bodies in front of the Word Wall.
$BarenziahHighlight17	~~~ Thalmor Embassy / Reeking Cave ~~~\n This Stone of Barenziah can be located in the Thalmor Embassy in Elenwen's Solar on the second floor. or inside Reeking Cave next to a corpse in the back depending on your Skyrim Version.
$BarenziahHighlight18	~~~ Whiterun I ~~~\n This Stone of Barenziah can be located inside the Hall of the Dead Catacombs, go down the left stairs and it will be to your left, next to a skeleton.
$BarenziahHighlight19	~~~ Whiterun II ~~~\n This Stone of Barenziah can be located in Dragonsreach in the Jarl's bedroom, on the right-hand end table.
$BarenziahHighlight20	~~~ Whiterun III ~~~\n This Stone of Barenziah can be located in Jorrvaskr's living quarters, on the bookshelf in Kodlak's room.
$BarenziahHighlight21	~~~ Windhelm I ~~~\n This Stone of Barenziah can be located in the House of Clan Shatter-Shield, on a bookshelf in the room to the left of the top of the stairs.
$BarenziahHighlight22	~~~ Windhelm II ~~~\n This Stone of Barenziah can be located in the Palace of the Kings Upstairs. Take the first door to the left upon entering the main palace area, then find Wuunferth's room with an Alchemy Lab & Arcane Enchanter at the end of the hall. The stone is on a table on the right side of the room.
$BarenziahHighlight23	~~~ Yngvild ~~~\n This Stone of Barenziah can be located in the bedroom behind the throne in Yngvild Throne room.

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$MiscDataShout00{}{}{}{}{}{}	Animal Allegiance (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout01{}{}{}{}{}{}	Aura Whisper (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout02{}{}{}{}{}{}	Battle Fury (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout03{}{}{}{}{}{}	Become Ethereal (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout04{}{}{}{}{}{}	Bend Will (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout05{}{}{}{}{}{}	Call Dragon (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout06{}{}{}{}{}{}	Call of Valor (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout07{}{}{}{}{}{}	Clear Skies (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout08{}{}{}{}{}{}	Cyclone (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout09{}{}{}{}{}{}	Disarm (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout10{}{}{}{}{}{}	Dismay (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout11{}{}{}{}{}{}	Dragon Aspect (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout12{}{}{}{}{}{}	Dragonrend (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout13{}{}{}{}{}{}	Drain Vitality (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout14{}{}{}{}{}{}	Elemental Fury (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout15{}{}{}{}{}{}	Fire Breath (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout16{}{}{}{}{}{}	Frost Breath (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout17{}{}{}{}{}{}	Ice Form (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout18{}{}{}{}{}{}	Kyne's Peace (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout19{}{}{}{}{}{}	Marked for Death (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout20{}{}{}{}{}{}	Slow Time (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout21{}{}{}{}{}{}	Soul Tear (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout22{}{}{}{}{}{}	Storm Call (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout23{}{}{}{}{}{}	Summon Durnehviir (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout24{}{}{}{}{}{}	Throw Voice (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout25{}{}{}{}{}{}	Unrelenting Force (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShout26{}{}{}{}{}{}	Whirlwind Sprint (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)

$MiscDataShoutHighlight00	~~~ Animal Allegiance ~~~\nWord 1: Ancient's Ascent, Word 2: Angarvunde, Word 3: Ysgramor's Tomb (Quest Locked)
$MiscDataShoutHighlight01	~~~ Aura Whisper ~~~\n Word 1: Northwind Summit, Word 2: Valthume, Word 3: Volunruud
$MiscDataShoutHighlight02	~~~ Battle Fury ~~~\n Vahlok's Tomb: All words learned together (lost Legacy)
$MiscDataShoutHighlight03	~~~ Become Ethereal ~~~\n Word 1: Ironbind Barrow, Word 2: Lost Valley Redoubt, Word 3: Ustengrav (Quest Locked)
$MiscDataShoutHighlight04	~~~ Bend Will ~~~\n Word 1: Saering's Watch , Word 2: Taught to you by Hermaeus Mora (The Path of Knowledge) , Word 3: Taught to you by Hermaeus Mora (The Gardener of Men)
$MiscDataShoutHighlight05	~~~ Call Dragon ~~~\n High Hrothgar: All words learned together (The Fallen)
$MiscDataShoutHighlight06	~~~ Call of Valor ~~~\n Sovngarde: All words learned together (Dragonslayer)
$MiscDataShoutHighlight07	~~~ Clear Skies ~~~\n High Hrothgar: All words learned together (The Throat of the World)
$MiscDataShoutHighlight08	~~~ Cyclone ~~~\n Word 1: Benkongerike, Word 2: Kolbjorn Barrow, Word 3: White Ridge Sanctum
$MiscDataShoutHighlight09	~~~ Disarm ~~~\n Word 1: Eldersblood Peak, Word 2: Silverdrift Lair, Word 3: Snow Veil Sanctum (Quest Locked)
$MiscDataShoutHighlight10	~~~ Dismay ~~~\n Word 1: Dead Crone Rock, Word 2: Lost Tongue Overlook, Word 3: Shalidor's Maze
$MiscDataShoutHighlight11	~~~ Dragon Aspect ~~~\n Word 1: Apocrypha (Waking Dreams), Word 2: Raven Rock Mine, Word 3: Temple of Miraak
$MiscDataShoutHighlight12	~~~ Dragonrend ~~~\n Throat of the World: (Alduin's Bane)
$MiscDataShoutHighlight13	~~~ Drain Vitality ~~~\n Word 1: Arcwind Point, Word 2: Dimhollow Crypt (Quest Locked), Word 3: Forgotten Vale (Quest Locked)
$MiscDataShoutHighlight14	~~~ Elemental Fury ~~~\n Word 1: Dragontooth Crater, Word 2: Shriekwind Bastion, Word 3: Statue to Meridia
$MiscDataShoutHighlight15	~~~ Fire Breath ~~~\n Word 1: Dustman's Cairn (Quest Locked), Word 2: Sunderstone Gorge, Word 3: Throat of the World (The Throat of the World)
$MiscDataShoutHighlight16	~~~ Frost Breath ~~~\n Word 1: Bonestrewn Crest, Word 2: Folgunthur, Word 3: Skyborn Altar
$MiscDataShoutHighlight17	~~~ Ice Form ~~~\n Word 1: Frostmere Crypt, Word 2: Mount Anthor, Word 3: Saarthal (Quest Locked)
$MiscDataShoutHighlight18	~~~ Kyne's Peace ~~~\n Word 1: Ragnvald, Word 2: Rannveig's Fast, Word 3: Shroud Hearth Barrow
$MiscDataShoutHighlight19	~~~ Marked for Death ~~~\n Word 1: Autumnwatch Tower, Word 2: Dark Brotherhood Sanctuary (Quest Locked), Word 3: Forsaken Cave
$MiscDataShoutHighlight20	~~~ Slow Time ~~~\n Word 1: Hag's End, Word 2: Korvanjund (Quest Locked), Word 3: Labyrinthian (Quest Locked)
$MiscDataShoutHighlight21	~~~ Soul Tear ~~~\n Durnehviir teaches you a word each time you summon him from the Soul Cairn
$MiscDataShoutHighlight22	~~~ Storm Call ~~~\n Word 1: Forelhost, Word 2: High Gate Ruins, Word 3: Skuldafn Temple (Quest Locked)
$MiscDataShoutHighlight23	~~~ Summon Durnehviir ~~~\n Soul Cairn: All words learned together (Beyond Death)
$MiscDataShoutHighlight24	~~~ Throw Voice ~~~\n Shearpoint: All words learned together
$MiscDataShoutHighlight25	~~~ Unrelenting Force ~~~\n Word 1: Bleak Falls Sanctum (Quest Locked), Word 2: High Hrothgar (The Way of the Voice), Word 3: High Hrothgar (The Horn of Jurgen Windcaller)
$MiscDataShoutHighlight26	~~~ Whirlwind Sprint ~~~\n Word 1: Dead Men's Respite, Word 2: High Hrothgar (The Way of the Voice), Word 3: Volskygge

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$MiscDataShoutFalskaar00{}{}{}{}{}{}	Champion's Spirit (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutFalskaarH00	~~~ Champion's Spirit ~~~\nWord 1: Grimrott Grotto, Word 2: Dragonbone Perch, Word 3: Watervine Chasm \nShout added by Falskaar

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$MiscDataShoutWyrmstooth00{}{}{}{}{}{}	Phantom Form (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutWyrmstoothH00	~~~ Phantom Form ~~~\nWord 1: Wyrmstooth Barrow, Word 2: Haetar's Cave, Word 3: Fort Valus \nShout added by Wyrmstooth

-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------
-----------------------------------------------------------------------------------------------------------------------------------------

$MiscDataShoutThunderChild00{}{}{}{}{}{}	Alessia's Love (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild01{}{}{}{}{}{}	Annihilate (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild02{}{}{}{}{}{}	Arcane Helix (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild03{}{}{}{}{}{}	Armageddon (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild04{}{}{}{}{}{}	Curse (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild05{}{}{}{}{}{}	Dance of the Dead (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild06{}{}{}{}{}{}	Earthquake (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild07{}{}{}{}{}{}	Essence Rip (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild08{}{}{}{}{}{}	Evocation (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild09{}{}{}{}{}{}	Geomagnetism (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild10{}{}{}{}{}{}	Iceborn (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild11{}{}{}{}{}{}	Jone's Shadow (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild12{}{}{}{}{}{}	Kingsbane (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild13{}{}{}{}{}{}	Lifestream (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild14{}{}{}{}{}{}	Lightning Shield (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild15{}{}{}{}{}{}	Oblivion (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild16{}{}{}{}{}{}	Phantom Decoy (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild17{}{}{}{}{}{}	Riftwalk (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild18{}{}{}{}{}{}	Shattersphere (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild19{}{}{}{}{}{}	Shor's Wrath (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild20{}{}{}{}{}{}	Shroud of Snowfall (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild21{}{}{}{}{}{}	Speak Unto The Stars (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild22{}{}{}{}{}{}	Splinter Twins (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild23{}{}{}{}{}{}	Stormblast (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild24{}{}{}{}{}{}	The Conqueror (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild25{}{}{}{}{}{}	Trueshot (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild26{}{}{}{}{}{}	Wail of the Banshee (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild27{}{}{}{}{}{}	Wanderlust (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)
$MiscDataShoutThunderChild28{}{}{}{}{}{}	Warcry (<font color='{}'>{}</font>, <font color='{}'>{}</font>, <font color='{}'>{}</font>)

$MiscDataShoutHighlightThunder00	~~~ Alessia's Love ~~~\n High Hrothgar Library: Meditate in front of the statue of Kyne \nShout added by Thunderchild
